old_tag,new_tags,count,SURJ Action,SURJ Demo Chapter,SURJ Bay Area,Showing Up for Racial Justice NYC
coach,IGNORE,15,,,,
congregation_member,IGNORE,22,,,,
sanctuary,IGNORE,105,,,,
action pledge,IGNORE,511,,,,
Phone Bank - 8/10/16,!Phone Bank,15,,,,
NYC_Attend_Feb17_Canvass,?Canvass,21,,,,
New Haven,IGNORE,22,,,,
Foundation,IGNORE,8,,,,
NYC_WorkingClass,#Poor Working Class,237,,,,
SURJ Bay Area - Interest - Queer Trans,#Queer Trans,24,,,,
environment,IGNORE,1,,,,
conference-call-njc-6-4-16,!Conference Call,161,,,,
NYC_DA_Jan17,!Direct Action,64,,,,
Basebuilding-training-list,#Basebuilding,92,,,,
donor_bail_fund,IGNORE,106,Donor Bail Fund,,,
Involve - Call - Phone Bank - 8/6/16,!Phone Bank,48,,,,
midwest,IGNORE,9,,,,
NYC_Attend_Mar17_CallingIn,!Conference Call,16,,,,
SURJ Bay Area - Event - Intro to SURJ - 2016-09,IGNORE,1,,,!Intro to SURJ,
Training,!Training,2804,,,,
Phone Bank - 8/8/16,!Phone Bank,15,,,,
other_dietary_restrictions,IGNORE,2,,,,
red/ 6,IGNORE,4,,,,
SURJ Bay Area - Interest - Fundraising,?Fundraising,49,,,,
NYC_Attend_BX_Dec16,IGNORE,15,,,,
vegan,IGNORE,1,,,,
surj group,IGNORE,348,,,,
NYC_Skills_Food,?Food,16,,,,
bbcallmay2015,"#Basebuilding,!Conference Call",151,,,,
campuscall1,!Conference Call,262,,,,
Involve - Call - Phone Bank - 8/2/16,!Phone Bank,94,,,,
NE Climate Summit 2015,IGNORE,81,,,,
NYCChapter11/16,IGNORE,677,,,,
NYC_Skills_Facilitation,?Facilitation,93,,,,
met nyc deep canvass,!Canvass,5,,,,
Deep-canvass-616,!Canvass,27,,,,
NYC_Skills_Comms,?Comms,204,,,,
pledge,IGNORE,3923,,,,
conference-call-political-edu-4-12-16,!Conference Call,105,,,,
1129callsurvey,!Conference Call,165,,,,
NYC_Attend_Jan17_Data,?Data,8,,,,
NYC,IGNORE,3009,,,,
NYC_Attend_Mar17_Canvas,?Canvass,4,,,,
NYC_Attend_Jan17_CallingIn,!Conference Call,21,,,,
SURJ Bay Area - Donate - 12 Days,IGNORE,101,,,$Donor - 12 days,
Former Leadership Team,IGNORE,13,,,,
Ferguson,IGNORE,854,,,,
bbcallapril2015,"#Basebuilding,!Conference Call",97,,,,
NYC_Skills_Fundraise,?Fundrasing,32,,,,
NYC_OneonOne_Done,IGNORE,36,,,,
raise money,?Fundrasing,4,,,,
SURJ Bay Area - !Intro - 20170328,IGNORE,30,,,!Intro to SURJ,
!Facebook - 2016,IGNORE,7,,,,
NYC_Attend_Mar17_PKSlope,IGNORE,30,,,,
NYC_Attend_Feb17_Comms,IGNORE,21,,,,
Involve - Call - Phone Bank - 8/13/16,!Phone Bank,64,,,,
NYCChapter3/17,IGNORE,63,,,,
NYC_Attend_Apr17_Sunnyside,IGNORE,5,,,,
eoy_donor,Donor EOY,1,Donor EOY,,,
Fundraising,?Fundrasing,1217,,,,
bbcallblacktranslives,"#Basebuilding,!Conference Call",160,,,,
vegetarian,IGNORE,5,,,,
NYCChapter5/17,IGNORE,30,,,,
:PhoneBank Shift Lead,!Phone Bank,15,,,,
socal_training,IGNORE,1,,,,
NYC_OneonOne,IGNORE,139,,,,
MillionsMarch,IGNORE,81,,,,
Staff,IGNORE,1,,,,
?Host House Party,?Host,2,,,,
#Court Support,IGNORE,3,,,,
house party,?Host,54,,,,
nycsurjeblast,IGNORE,6373,,,,
graphic design,?Graphic design,6,,,,
NYCChapter7/16,IGNORE,112,,,,
